play_id,penaltySeverity,penaltyMinutes
2018020064_29,Minor,2
2018020064_56,Minor,2
2018020064_85,Minor,2
2018020064_91,Minor,2
2018020064_159,Minor,2
2018020064_181,Minor,2
2018020064_193,Minor,2
2018020064_217,Penalty Shot,0
2018020064_281,Minor,2
2018020065_9,Minor,2
2018020065_36,Minor,2
2018020065_122,Minor,2
2018020065_139,Minor,2
2018020065_213,Minor,2
2018020065_224,Minor,2
2018020066_193,Minor,2
2018020066_224,Minor,2
2018020066_277,Minor,2
2018020067_119,Minor,2
2018020067_143,Minor,2
2018020067_158,Minor,2
2018020067_197,Minor,2
2018020067_224,Minor,2
2018020068_48,Minor,2
2018020068_62,Minor,2
2018020068_72,Minor,2
2018020068_182,Minor,2
2018020068_202,Minor,2
2018020068_222,Minor,2
2018020068_241,Minor,2
2018020069_77,Minor,2
2018020069_102,Minor,2
2018020069_149,Minor,2
2018020069_183,Minor,2
2018020069_232,Minor,2
2018020069_312,Minor,2
2018020069_315,Minor,2
2018020069_316,Minor,2
2018020070_73,Minor,2
2018020070_92,Minor,2
2018020070_130,Minor,2
2018020070_171,Minor,2
2018020070_187,Minor,2
