game_id,official_name,official_type
2018020079,Chris Schlenker,Referee
2018020079,Marc Joannette,Referee
2018020079,Matt MacPherson,Linesman
2018020079,Brian Murphy,Linesman
2018020080,Justin StPierre,Referee
2018020080,Dan O'Halloran,Referee
2018020080,Darren Gibbs,Linesman
2018020080,Brad Kovachik,Linesman
2018020081,Jake Brenk,Referee
2018020081,Kevin Pollock,Referee
2018020081,Derek Amell,Linesman
2018020081,David Brisebois,Linesman
2018020082,Brian Pochmara,Referee
2018020082,TJ Luxmore,Referee
2018020082,Jonny Murray,Linesman
2018020082,Kory Nagy,Linesman
2018020083,Brad Watson,Referee
2018020083,Pierre Lambert,Referee
2018020083,Kiel Murchison,Linesman
2018020083,Ryan Galloway,Linesman
2018020084,Ghislain Hebert,Referee
2018020084,Steve Kozari,Referee
2018020084,Lonnie Cameron,Linesman
2018020084,Bryan Pancich,Linesman
2018020085,Kyle Rehman,Referee
2018020085,Tim Peel,Referee
2018020085,Ryan Gibbons,Linesman
2018020085,Brandon Gawryletz,Linesman
2018020086,Eric Furlatt,Referee
2018020086,Reid Anderson,Referee
2018020086,Trent Knorr,Linesman
2018020086,Derek Nansen,Linesman
2018020087,Trevor Hanson,Referee
2018020087,Jake Brenk,Referee
2018020087,Pierre Racicot,Linesman
2018020087,Brian Murphy,Linesman
2018020088,Ghislain Hebert,Referee
2018020088,Brad Meier,Referee
2018020088,Greg Devorski,Linesman
2018020088,Libor Suchanek,Linesman
2018020089,Ian Walsh,Referee
2018020089,Francois StLaurent,Referee
2018020089,Ryan Gibbons,Linesman
2018020089,Brian Mach,Linesman
2018020086,Eric Furlatt,Referee
2018020086,Reid Anderson,Referee
2018020086,Trent Knorr,Linesman
2018020086,Derek Nansen,Linesman
2018020087,Trevor Hanson,Referee
2018020087,Jake Brenk,Referee
2018020087,Pierre Racicot,Linesman
2018020087,Brian Murphy,Linesman
2018020088,Ghislain Hebert,Referee
2018020088,Brad Meier,Referee
2018020088,Greg Devorski,Linesman
2018020088,Libor Suchanek,Linesman
2018020089,Ian Walsh,Referee
2018020089,Francois StLaurent,Referee
2018020089,Ryan Gibbons,Linesman
2018020089,Brian Mach,Linesman
2018020090,Kelly Sutherland,Referee
2018020090,Pierre Lambert,Referee
2018020090,Darren Gibbs,Linesman
2018020090,Devin Berg,Linesman
2018020091,Jon McIsaac,Referee
2018020091,Frederick L'Ecuyer,Referee
2018020091,Shandor Alphonso,Linesman
2018020091,Ryan Daisy,Linesman
2018020092,Brian Pochmara,Referee
2018020092,Marc Joannette,Referee
2018020092,Travis Gawryletz,Linesman
2018020092,Scott Driscoll,Linesman
2018020093,Chris Schlenker,Referee
2018020093,Francis Charron,Referee
2018020093,Matt MacPherson,Linesman
2018020093,Kory Nagy,Linesman
2018020094,Garrett Rank,Referee
2018020094,Dean Morton,Referee
2018020094,Derek Amell,Linesman
2018020094,Bryan Pancich,Linesman
2018020095,Kendrick Nicholson,Referee
2018020095,Steve Kozari,Referee
2018020095,Kiel Murchison,Linesman
2018020095,Steve Miller,Linesman
2018020096,Gord Dwyer,Referee
2018020096,Brad Watson,Referee
2018020096,Greg Devorski,Linesman
2018020096,Libor Suchanek,Linesman
2018020097,Kyle Rehman,Referee
2018020097,Tim Peel,Referee
2018020097,James Tobias,Linesman
2018020097,Tony Sericolo,Linesman
2018020098,Ian Walsh,Referee
2018020098,Francois StLaurent,Referee
2018020098,Brian Mach,Linesman
2018020098,Ryan Galloway,Linesman
2018020090,Kelly Sutherland,Referee
2018020090,Pierre Lambert,Referee
2018020090,Darren Gibbs,Linesman
2018020090,Devin Berg,Linesman
2018020091,Jon McIsaac,Referee
2018020091,Frederick L'Ecuyer,Referee
2018020091,Shandor Alphonso,Linesman
2018020091,Ryan Daisy,Linesman
2018020092,Brian Pochmara,Referee
2018020092,Marc Joannette,Referee
2018020092,Travis Gawryletz,Linesman
2018020092,Scott Driscoll,Linesman
2018020093,Chris Schlenker,Referee
2018020093,Francis Charron,Referee
2018020093,Matt MacPherson,Linesman
2018020093,Kory Nagy,Linesman
2018020094,Garrett Rank,Referee
2018020094,Dean Morton,Referee
2018020094,Derek Amell,Linesman
2018020094,Bryan Pancich,Linesman
2018020095,Kendrick Nicholson,Referee
2018020095,Steve Kozari,Referee
