play_id,strength,gameWinningGoal,emptyNet
2018020039_214,Even,False,False
2018020040_27,Even,False,False
2018020040_56,Even,False,False
2018020040_166,Power Play,True,False
2018020041_53,Even,False,False
2018020041_96,Even,False,False
2018020041_103,Even,False,False
2018020041_153,Even,False,False
2018020041_166,Power Play,False,False
2018020041_179,Even,False,False
2018020041_190,Power Play,True,False
2018020041_197,Power Play,False,False
2018020041_236,Even,False,False
2018020041_255,Even,False,False
2018020041_306,Even,False,True
2018020042_51,Power Play,False,False
2018020042_90,Power Play,False,False
2018020042_138,Even,False,False
2018020042_150,Even,False,False
2018020042_168,Even,False,False
2018020042_195,Power Play,False,False
2018020042_229,Even,False,False
2018020042_276,Even,True,False
2018020042_331,Power Play,False,False
2018020042_351,Power Play,False,False
2018020042_363,Even,False,True
2018020043_94,Power Play,False,False
2018020043_170,Even,False,False
2018020043_173,Even,False,False
2018020043_258,Power Play,True,False
2018020043_265,Even,False,False
2018020043_298,Even,False,False
2018020043_342,Even,False,True
2018020044_43,Even,False,False
2018020044_117,Power Play,False,False
2018020044_159,Short Handed,False,False
2018020044_202,Even,False,False
2018020044_323,Even,False,
2018020042_51,Power Play,False,False
2018020042_90,Power Play,False,False
2018020042_138,Even,False,False
2018020042_150,Even,False,False
2018020042_168,Even,False,False
2018020042_195,Power Play,False,False
2018020042_229,Even,False,False
2018020042_276,Even,True,False
2018020042_331,Power Play,False,False
2018020042_351,Power Play,False,False
2018020042_363,Even,False,True
2018020043_94,Power Play,False,False
2018020043_170,Even,False,False
2018020043_173,Even,False,False
2018020043_258,Power Play,True,False
2018020043_265,Even,False,False
2018020043_298,Even,False,False
2018020043_342,Even,False,True
2018020044_43,Even,False,False
2018020044_117,Power Play,False,False
2018020044_159,Short Handed,False,False
2018020044_202,Even,False,False
2018020044_323,Even,False,
2018020045_17,Even,False,False
2018020045_51,Power Play,False,False
2018020045_77,Power Play,True,False
2018020045_79,Even,False,False
2018020045_306,Even,False,True
2018020046_55,Power Play,False,False
2018020046_65,Power Play,True,False
2018020046_78,Even,False,False
2018020046_176,Even,False,False
2018020046_178,Even,False,False
2018020046_257,Even,False,False
2018020046_263,Even,False,False
2018020047_78,Power Play,False,False
2018020047_96,Even,False,False
2018020047_104,Even,False,False
2018020047_150,Even,False,False
2018020047_166,Even,False,False
2018020047_182,Power Play,False,False
2018020047_220,Even,False,False
2018020047_239,Even,False,False
2018020047_317,Even,True,False
2018020048_61,Even,True,False
2018020048_114,Power Play,False,False
2018020048_149,Even,False,False
2018020048_272,Even,False,False
2018020048_307,Even,False,False
2018020048_322,Even,False,False
2018020049_33,Short Handed,False,False
2018020049_75,Even,False,False
2018020049_140,Even,False,False
2018020049_308,Even,False,False
2018020049_327,Even,True,False
2018020050_42,Even,False,False
2018020050_54,Even,False,False
2018020050_176,Even,False,False
2018020050_207,Even,True,False
2018020050_210,Even,False,False
2018020050_306,Even,False,False
2018020051_30,Even,True,False
2018020051_67,Even,False,False
2018020051_291,Even,False,False
2018020052_34,Even,False,False
2018020052_76,Even,False,False
2018020052_111,Even,False,False
2018020052_139,Power Play,False,False
2018020052_261,Even,False,False
2018020052_270,Power Play,True,False
2018020052_286,Even,False,False
2018020052_311,Even,False,True
2018020053_102,Even,False,False
2018020053_274,Even,False,False
2018020053_284,Even,True,False
2018020053_305,Even,False,True
2018020053_312,Even,False,True
2018020054_43,Even,False,False
2018020054_45,Even,False,False
2018020054_54,Even,False,False
2018020054_83,Even,False,False
2018020054_112,Power Play,True,False
2018020054_190,Power Play,False,False
2018020054_235,Even,False,False
2018020054_253,Even,False,False
2018020055_110,Even,True,False
2018020055_233,Even,False,False
2018020055_269,Even,False,False
2018020056_61,Even,False,False
2018020056_82,Even,False,False
2018020056_181,Even,False,False
2018020056_207,Even,False,False
2018020056_229,Power Play,False,False
2018020056_311,Short Handed,False,False
2018020056_334,Even,True,False
2018020045_17,Even,False,False
2018020045_51,Power Play,False,False
2018020045_77,Power Play,True,False
2018020045_79,Even,False,False
2018020045_306,Even,False,True
2018020046_55,Power Play,False,False
2018020046_65,Power Play,True,False
2018020046_78,Even,False,False
2018020046_176,Even,False,False
2018020046_178,Even,False,False
2018020046_257,Even,False,False
2018020046_263,Even,False,False
2018020047_78,Power Play,False,False
2018020047_96,Even,False,False
2018020047_104,Even,False,False
2018020047_150,Even,False,False
2018020047_166,Even,False,False
2018020047_182,Power Play,False,False
2018020047_220,Even,False,False
2018020047_239,Even,False,False
2018020047_317,Even,True,False
2018020048_61,Even,True,False
2018020048_114,Power Play,False,False
2018020048_149,Even,False,False
2018020048_272,Even,False,False
2018020048_307,Even,False,False
2018020048_322,Even,False,False
2018020049_33,Short Handed,False,False
